"labels","text"
"current","dyou reckon i can give up ciggs for lent again after failing spectacularly this week because TECHNICALLY forty days starts here"
"current","hookah bar w it '"
"not-current","1 WEEK OF NO CIGARETTES FOR"
"not-current","on the sofa dead Woke up from a coma pulled up in a koda Smoked went back to bed"
"current","""A hamburger cigs beer and sitting on the couch in sweats and a t shirt My evening plans """
"current","""All I aspire to do with myself is blow bigger coulds and vape my life away"""
"current","""got a cat in my left arm and a vape pen in my right"""
"current","""heartburn why "" i ask finishing another cigarette and another cup of coffee"
"current","""Hey can I take a sip of your juul bro"""
"not-current","""I brought my hookah pen to a One Direction concert "" -MENTION-"
"not-current","""i had to load up i hadn't smoked in 4 hours"""
"current","""i know smoking is bad but my reason for smoking is worse """
"current","""I listen to kali uchis and raury smoke cigs take artsy pictures and Quentin Tarantino is my favorite movie director I swear I'm unique"""
"not-current","""i want to try mind altering drugs"" ""i vaped once"""
"current","""I'll vape to that"""
"current","""I've got the 'tinglies' this cig is sending me under"" -MENTION-"
"not-current","""I've had three cigarettes today one cup of coffee four Oreos and one chicken strip"" -MENTION-"
"current","""Im coming over to smoke a cig"""
"current","""im still an angel im just a vaping angel now"""
"not-current","""Security snatched my juul and now waiting to get suspended FML"" headASS"
"current","""What's wrong "" Me takes long drag off cigarette ""My sketchers just don't light up anymore """
"current","crosses legs lights cigarette and waits another 35 million years for the Submergence trailer to drop"
"current","i take a drag from my cigarette hirijihara's pretty boring but i'm here for asano my good girl the light of my life"
"current","@ The Hookah Bar"
"current","sipping this hot tea amp smoking this cig"
"current","Casually sits at a bar with a beer amp cigarette burning in an ash tray"
"current","coughs so hard i drop to my knees and vomit yeah i vape"
"current","does vape tricks in front of sanae"
"current","falls in love with a cigarette"
"current","forgets pack of cigs in another state me can you mail them to me"
"current","gets intense cough wow it's a great time to smoke some menthol cigs that'll definitely help me feel better"
"current","holds a cig in my hand me wow I feel sexy"
"not-current","remembers that time i lit a cigarette using the stove top and burned my hair"
"current","rolls eyes lights another cigarette"
"current","unplugs grandpas life support to charge my vape"
"not-current","waits patiently for Cindy Allen to freak out about the Blackbeard Cigar purchase on my debit"
"current","Time to eat Lasagna and smoke HOOKAH and play DBZ or watch RWBY"
"current","#authorconfession D2 coffee and my e smoke (I know trying to quit )"
"current","#clean murder mystery party where can i buy e cigs"
"current","#little bears child care where can i buy e cigs"
"current","#sat prep tucson where can i buy e cigs"
"current","#SheeSha #PeeeNa #A #Ty #JeeNa #A #DuNiYo #ChO #Ki #LeNa MiaN BiLaL ka ChAsKa drinking smoking shisha"
"current","#smoking #exwife webcam #abigail police #girl #clapping mexican"
"current","#vape so hard motherf ckers wanna fine me"
"current","#vaping in ATL airport bathroom AMA"
"current","#where can i buy e cigs disc degeneration nos"
"current","1 cig takes the stress away"
"not-current","1 day 2 packet cigg really gg"
"current","1 28AM Sitting outside listening to music and smoking a cigarette #littlethings"
"current","100 Retweets and I'll quit smoking"
"not-current","100 @ the hookah bar"
"current","13 for a pack a cigs you"
"current","1st i lost my almost full pack of ciggs Then i lost my phone But it got returned thankfully Then i hit n run a monkey(it survived)"
"not-current","1st we Hit Brooklyn with the cigs then we headed to more boroughs (Marlborough) NJT"
"current","2 A M Cig break #midnightmadness"
"current","2 A M Cig break #midnightmadness"
"current","2 in the morning and I'm still kinda weak again i smoke a cigarette and play another waiting game"
