"labels","text"
"Present","dyou reckon i can give up ciggs for lent again after failing spectacularly this week because TECHNICALLY forty days starts here"
"Present","hookah bar w it '"
"NOT-Present","1 WEEK OF NO CIGARETTES FOR"
"NOT-Present","on the sofa dead Woke up from a coma pulled up in a koda Smoked went back to bed"
"NOT-Present","""A hamburger cigs beer and sitting on the couch in sweats and a t shirt My evening plans """
"Present","""All I aspire to do with myself is blow bigger coulds and vape my life away"""
"Present","""got a cat in my left arm and a vape pen in my right"""
"Present","""heartburn why "" i ask finishing another cigarette and another cup of coffee"
"NOT-Present","""Hey can I take a sip of your juul bro"""
"NOT-Present","""I brought my hookah pen to a One Direction concert "" -MENTION-"
"NOT-Present","""i had to load up i hadn't smoked in 4 hours"""
"Present","""i know smoking is bad but my reason for smoking is worse """
"Present","""I listen to kali uchis and raury smoke cigs take artsy pictures and Quentin Tarantino is my favorite movie director I swear I'm unique"""
"NOT-Present","""i want to try mind altering drugs"" ""i vaped once"""
"NOT-Present","""I'll vape to that"""
"Present","""I've got the 'tinglies' this cig is sending me under"" -MENTION-"
"NOT-Present","""I've had three cigarettes today one cup of coffee four Oreos and one chicken strip"" -MENTION-"
"NOT-Present","""Im coming over to smoke a cig"""
"Present","""im still an angel im just a vaping angel now"""
"NOT-Present","""Security snatched my juul and now waiting to get suspended FML"" headASS"
"Present","""What's wrong "" Me takes long drag off cigarette ""My sketchers just don't light up anymore """
"Present","crosses legs lights cigarette and waits another 35 million years for the Submergence trailer to drop"
"Present","i take a drag from my cigarette hirijihara's pretty boring but i'm here for asano my good girl the light of my life"
"Present","@ The Hookah Bar"
"Present","sipping this hot tea amp smoking this cig"
"Present","Casually sits at a bar with a beer amp cigarette burning in an ash tray"
"Present","coughs so hard i drop to my knees and vomit yeah i vape"
"Present","does vape tricks in front of sanae"
"Present","falls in love with a cigarette"
"NOT-Present","forgets pack of cigs in another state me can you mail them to me"
"NOT-Present","gets intense cough wow it's a great time to smoke some menthol cigs that'll definitely help me feel better"
"Present","holds a cig in my hand me wow I feel sexy"
"NOT-Present","remembers that time i lit a cigarette using the stove top and burned my hair"
"Present","rolls eyes lights another cigarette"
"Present","unplugs grandpas life support to charge my vape"
"NOT-Present","waits patiently for Cindy Allen to freak out about the Blackbeard Cigar purchase on my debit"
"Present","Time to eat Lasagna and smoke HOOKAH and play DBZ or watch RWBY"
"Present","#authorconfession D2 coffee and my e smoke (I know trying to quit )"
"NOT-Present","#clean murder mystery party where can i buy e cigs"
"NOT-Present","#little bears child care where can i buy e cigs"
"NOT-Present","#sat prep tucson where can i buy e cigs"
