"labels","text"
"1stPerson","dyou reckon i can give up ciggs for lent again after failing spectacularly this week because TECHNICALLY forty days starts here"
"1stPerson","hookah bar w it '"
"NOT-1stPerson","cigarette smoking kills you at 50 weed smoking kills you at 150 you do the meth man"
"1stPerson","1 WEEK OF NO CIGARETTES FOR"
"NOT-1stPerson","understand that cigarette vapour or halitosis you are risking your oesophagus by introducing me to either #HaveANiceDay #DailyCommute"
"1stPerson","on the sofa dead Woke up from a coma pulled up in a koda Smoked went back to bed"
"NOT-1stPerson","-MENTION- -MENTION- -MENTION- Bates Cdn #vape expert Dave Sweanor not allowed to testify at -MENTION- on anti vaping Bill S5 no space wow"
"NOT-1stPerson","-MENTION- -MENTION- I don't like ""7 yrs old"" (#np) I believe it is being used 2 promote American cigarettes 2 black kids in Africa"
"NOT-1stPerson","-MENTION- -MENTION- I don't like ""ironic"" (#np) I believe it is being used 2 promote American cigarettes to black kids in Africa"
"NOT-1stPerson","-MENTION- -MENTION- I don't like ""piano man"" (#np) I believe it is being used 2 promote American cigarettes 2 black kids in Africa"
"NOT-1stPerson","-MENTION- Concerns over #Bills5 Aligned with grenades re tobacco act instead of #harmreduction legislation #Vaping so misunderstood"
"NOT-1stPerson","things im adickdid 2 vape diet coke miranda voice"
"NOT-1stPerson",""" I'm doing my final project on how vaping affects climate change"""
"NOT-1stPerson",""" someone smells good"" It's the juul"
"NOT-1stPerson",""" you're lying with your gold chain on cigar hanging from your lips i said 'hun you never looked so beautiful' """
"NOT-1stPerson",""" the altar boys and bridesmaids dressed as angels flirting and smoking cigarettes """
"NOT-1stPerson","""-MENTION- C Boredom wil hv u chain smoking"" Eish"
"NOT-1stPerson","""A cigar is just a cigar but a woman is a smoke "" #AddAWomanImproveAQuote"
"1stPerson","""A hamburger cigs beer and sitting on the couch in sweats and a t shirt My evening plans """
"1stPerson","""All I aspire to do with myself is blow bigger coulds and vape my life away"""
"NOT-1stPerson","""Can I vape in front of ur dad "" #latenightswithliam 5 16AM"
"NOT-1stPerson","""Cheaper than cigarettes"" Frostwire"
"NOT-1stPerson","""Cigarettes on cigarettes my moma think I stank I got burn holes in my hoodie all my homies think it's dank I miss my coco butter kisses"""
"NOT-1stPerson","""Don't stop trying to stop you can still get there "" ""What you've tried it all before Why not give e cigs a go "" #HertsSmokeFree -MENTION-"
"NOT-1stPerson","""DONT VAPE ON THE FUCKING SPAM"""
"NOT-1stPerson","""Even if it's all dark I can always see the glimmer of the cigarette"" Amazing the end of the day and I still can't get OVER HOW MUCH HE LOV"
"NOT-1stPerson","""Everyone's vaping but me"" My new novel about an outcast living in 2017"
"NOT-1stPerson","""fog is just god vaping"""
"NOT-1stPerson","""getting decaf coffee is like the vaping of coffee"" -MENTION-"
"NOT-1stPerson","""Go in the bathroom and make sure no ones vaping"" I hate this school"
"NOT-1stPerson","""Going vegan is expensive"" ""says the person who smokes cancer sticks"" bet"
"1stPerson","""got a cat in my left arm and a vape pen in my right"""
"NOT-1stPerson","""Got the Armor All touch empty out the dutch No tobacco spillin' on my rug clutch"" Q Tip"
